batter_name,PA_all,PA_high,wOBA_all,wOBA_high,OPS_all,OPS_high,K%_all,K%_high,ClutchFactor,LI_used_in_flag
colt keith,468,50.0,0.334475374732334,0.5091836734693878,0.7475320637388263,1.2117073170731707,0.21794871794871795,0.18,1.6729788430769912,False
noelvi marte,361,62.0,0.3414325842696629,0.5040983606557377,0.7478944781255121,1.13039912520503,0.23545706371191136,0.1774193548387097,1.5232456480805985,False
yoán moncada,289,52.0,0.3470486111111111,0.5049019607843137,0.7855597392379454,1.177767354596623,0.25951557093425603,0.23076923076923078,1.479289764979794,False
kyle schwarber,726,119.0,0.3967270194986073,0.506896551724138,0.9251940366450438,1.2348518354710305,0.2699724517906336,0.19327731092436976,1.195397558113768,False
james wood,691,92.0,0.36430678466076694,0.4780898876404494,0.8236240310077519,1.1348413631022325,0.31982633863965265,0.2826086956521739,1.166761000997084,False
cole young,257,55.0,0.28641732283464566,0.41346153846153844,0.6092805615129655,0.8278388278388278,0.1828793774319066,0.2,1.0293943504118048,False
sean murphy,337,72.0,0.3172155688622755,0.4064285714285714,0.7113299174846184,0.9650159018627896,0.3086053412462908,0.25,0.9948420322904524,False
j. t. realmuto,550,86.0,0.3134790528233151,0.4176470588235294,0.7013119682442391,0.971474617244158,0.23454545454545456,0.2558139534883721,0.9918402884194606,False
xavier edwards,620,101.0,0.32225859247135846,0.4296875,0.6959613757288419,0.9413906506929763,0.1403225806451613,0.15841584158415842,0.9752661254632174,False
isaac paredes,439,68.0,0.36112385321100915,0.44850746268656716,0.8088671259426529,1.0405056759545923,0.17084282460136674,0.10294117647058823,0.9657533386908835,False
tyler soderstrom,624,86.0,0.3590322580645161,0.4566265060240964,0.8214201787116484,1.0001550387596898,0.22435897435897437,0.16279069767441862,0.9295430169051541,False
dylan crews,322,56.0,0.2890282131661442,0.37636363636363634,0.6310389417675365,0.8303571428571428,0.2360248447204969,0.21428571428571427,0.8630615045990215,False
luis garcía,528,76.0,0.3116412213740458,0.4027027027027027,0.7030749872203217,0.9107246376811594,0.1590909090909091,0.18421052631578946,0.8357814123210946,False
gabriel moreno,309,52.0,0.3534426229508197,0.4322916666666667,0.7882618563247451,0.9626082991336069,0.1715210355987055,0.11538461538461539,0.8290159715207772,False
adam frazier,460,93.0,0.30855263157894736,0.3966666666666667,0.6858716173694147,0.9065934065934066,0.17608695652173914,0.21505376344086022,0.8240922465773926,False
spencer torkelson,649,89.0,0.3459564541213064,0.42151162790697677,0.7918868528181988,0.9461610486891385,0.2588597842835131,0.19101123595505617,0.7988529691994765,False
william contreras,660,101.0,0.3495412844036697,0.42424242424242425,0.7563872303933465,0.9217239370995922,0.1787878787878788,0.12871287128712872,0.7893003736274539,False
marcus semien,535,98.0,0.30412757973733584,0.37959183673469393,0.6729432563996997,0.8496998799519808,0.17383177570093458,0.17346938775510204,0.7491688262121525,False
fernando tatís,692,110.0,0.3729074889867841,0.4390476190476191,0.8134940932894897,1.006334643949323,0.18497109826589594,0.17272727272727273,0.7431513519962737,False
jonathan india,567,88.0,0.30805309734513275,0.3879310344827586,0.6705445438588981,0.8908045977011494,0.18694885361552027,0.26136363636363635,0.7420258257256086,False
jorge soler,315,57.0,0.3114285714285714,0.38596491228070173,0.6829167098848667,0.8647959183673469,0.2984126984126984,0.3157894736842105,0.7307483470848879,False
randal grichuk,293,61.0,0.30034246575342466,0.37416666666666665,0.6765973630831643,0.8366407822835777,0.20819112627986347,0.21311475409836064,0.7110080126654361,False
hunter goodman,579,78.0,0.37256944444444445,0.4333333333333333,0.844460491687528,1.0182648401826484,0.2607944732297064,0.24358974358974358,0.6965773233389471,False
adley rutschman,367,51.0,0.3049315068493151,0.3598039215686275,0.6710468459326907,0.8302139037433156,0.1553133514986376,0.09803921568627451,0.6964266075650832,False
manny machado,679,119.0,0.3506676557863501,0.4143478260869565,0.7962108366411037,0.9542009353330108,0.18998527245949925,0.16806722689075632,0.6931131341243978,False
daulton varsho,271,58.0,0.35240740740740745,0.4052631578947369,0.8378607809847198,0.9950347567030784,0.28413284132841327,0.22413793103448276,0.6874187092988945,False
jesús sánchez,498,75.0,0.3126008064516129,0.3783783783783784,0.6982407936054811,0.8466666666666667,0.21686746987951808,0.2,0.6830156417876782,False
pete alonso,709,104.0,0.3746088193456615,0.4387254901960784,0.875467032967033,1.0217339948027404,0.22849083215796898,0.22115384615384615,0.6606048057815976,False
kody clemens,387,57.0,0.31230366492146594,0.36727272727272725,0.7146490906506469,0.8612637362637363,0.24031007751937986,0.21052631578947367,0.6455106733098268,False
ryan mcmahon,588,96.0,0.3103595890410959,0.36947368421052634,0.692468262331276,0.8169642857142857,0.3197278911564626,0.2916666666666667,0.6309119225534333,False
javier báez,437,77.0,0.3024027459954233,0.36038961038961037,0.6821461998992031,0.8513328776486672,0.2494279176201373,0.2727272727272727,0.6279187486057533,False
geraldo perdomo,723,122.0,0.3879407616361072,0.4588495575221239,0.8521424104034647,0.937650323774283,0.11479944674965421,0.09836065573770492,0.6157687609620497,False
george springer,586,85.0,0.4186426116838488,0.4738095238095238,0.9619800942902043,1.096774193548387,0.189419795221843,0.18823529411764706,0.5947810007633922,False
kyle higashioka,328,70.0,0.3141104294478528,0.37785714285714284,0.6927268324184694,0.7997658079625293,0.21341463414634146,0.21428571428571427,0.5923832460497076,False
jorge polanco,524,98.0,0.35442307692307695,0.4057291666666667,0.8241495087147583,0.9538479980819947,0.15648854961832062,0.14285714285714285,0.5844501345036063,False
kyle farmer,300,50.0,0.2916107382550336,0.34600000000000003,0.6465001332590313,0.7055813953488372,0.22,0.14,0.5773690865094112,False
pete crow-armstrong,641,88.0,0.34071428571428575,0.3885542168674699,0.7808151898039539,0.8817496229260935,0.23712948517940718,0.18181818181818182,0.5772180184637861,False
ceddanne rafaela,589,110.0,0.31523972602739725,0.3680555555555556,0.706929307069293,0.7854030501089324,0.19864176570458403,0.14545454545454545,0.5655240653400151,False
tommy pham,450,80.0,0.324436936936937,0.3813333333333333,0.701541012665466,0.7817622950819672,0.2088888888888889,0.175,0.5637631047013384,False
trey sweeney,326,53.0,0.25679012345679014,0.32452830188679244,0.5514101057579318,0.6714402618657938,0.2822085889570552,0.33962264150943394,0.5613419897587404,False
wilyer abreu,417,78.0,0.34148418491484184,0.3904109589041096,0.788781491603321,0.9064935064935065,0.2422062350119904,0.23076923076923078,0.5533901119977007,False
bo naylor,414,86.0,0.2997566909975669,0.34464285714285714,0.6652498366518793,0.7894041921109094,0.2391304347826087,0.22093023255813954,0.5519754958063651,False
josé caballero,371,75.0,0.32814207650273225,0.3901408450704225,0.6857577734290063,0.7559523809523809,0.2641509433962264,0.25333333333333335,0.5452365771258795,False
wenceel pérez,383,57.0,0.31971279373368144,0.35964912280701755,0.7424018703088471,0.8291380625476735,0.22715404699738903,0.15789473684210525,0.5366814445972733,False
carlos correa,587,75.0,0.33296041308089497,0.37666666666666665,0.7310580204778157,0.8461538461538463,0.19080068143100512,0.17333333333333334,0.5325124801459011,False
nick allen,416,57.0,0.25761670761670763,0.2990909090909091,0.537093607533859,0.6333951762523191,0.23798076923076922,0.19298245614035087,0.5283001256109998,False
ernie clement,588,102.0,0.32219343696027636,0.3734693877551021,0.7141373598369012,0.7919254658385093,0.10374149659863946,0.0784313725490196,0.5235994107494274,False
mookie betts,664,115.0,0.32821482602118,0.36666666666666664,0.73535997512051,0.8531647807637907,0.10240963855421686,0.0782608695652174,0.5199421408582896,False
alejandro kirk,506,85.0,0.34135188866799204,0.3869047619047619,0.7732860310421286,0.8964806594800254,0.11462450592885376,0.12941176470588237,0.5137857963585961,False
harrison bader,503,99.0,0.3531062124248497,0.3828282828282828,0.7946666666666666,0.903061224489796,0.27037773359840955,0.2222222222222222,0.49462027547019277,False
luis rengifo,543,112.0,0.28903345724907065,0.3348623853211009,0.6215655971407179,0.7202020202020202,0.18968692449355432,0.19642857142857142,0.4894055625383476,False
danny jansen,340,70.0,0.32782738095238095,0.36571428571428566,0.7156637808844973,0.7997658079625293,0.2529411764705882,0.21428571428571427,0.4862655009919961,False
ozzie albies,668,111.0,0.31,0.3513761467889908,0.6719307182883342,0.757325746799431,0.1407185628742515,0.11711711711711711,0.4862216094166991,False
caleb durbin,507,99.0,0.33250497017892644,0.3747474747474748,0.7216502242152467,0.8327348546275918,0.09861932938856016,0.1111111111111111,0.4836291987345851,False
alek thomas,470,86.0,0.30314533622559653,0.34397590361445785,0.6599679422961331,0.7692429521697814,0.25957446808510637,0.26744186046511625,0.48001648134849656,False
angel martínez,484,97.0,0.2859081419624217,0.3463917525773196,0.6303233419872551,0.7443181818181819,0.22727272727272727,0.31958762886597936,0.4764900390797517,False
